timestamp,fish_id,lat,lon,depth_m,water_temp_c,dissolved_oxygen_mgl,ph,turbidity_ntu,salinity_ppt,battery_pct
2024-01-01T00:00:00Z,fish-01,32.687676,-117.161878,2.93,13.84,10.34,7.8,7.3,33.26,99.3
2024-01-01T00:10:00Z,fish-01,32.687743,-117.161506,3.0,13.62,10.35,7.89,6.9,33.36,99.0
2024-01-01T00:20:00Z,fish-01,32.686498,-117.161798,3.06,13.6,10.22,7.94,5.6,33.13,98.8
2024-01-01T00:30:00Z,fish-01,32.68806,-117.161091,3.51,14.05,10.24,8.01,9.48,33.42,99.1
2024-01-01T00:40:00Z,fish-01,32.68922,-117.160005,2.68,13.38,10.55,8.1,6.46,33.76,99.5
2024-01-01T00:50:00Z,fish-01,32.68731,-117.161974,2.64,13.58,10.32,8.07,5.55,33.71,98.8
2024-01-01T01:00:00Z,fish-01,32.689729,-117.160203,3.69,13.57,10.48,7.88,5.82,33.53,98.6
2024-01-01T01:10:00Z,fish-01,32.689265,-117.161987,2.86,14.33,9.92,7.96,6.95,33.85,98.4
2024-01-01T01:20:00Z,fish-01,32.68814,-117.162055,2.47,13.76,10.13,8.01,6.28,34.1,97.8
2024-01-01T01:30:00Z,fish-01,32.688829,-117.160391,2.87,14.47,9.91,7.97,9.32,33.74,97.6
2024-01-01T01:40:00Z,fish-01,32.690666,-117.160289,2.96,13.92,10.1,7.97,6.93,33.93,98.0
2024-01-01T01:50:00Z,fish-01,32.689897,-117.160362,3.92,13.62,10.73,7.83,10.56,33.92,97.5
2024-01-01T02:00:00Z,fish-01,32.689269,-117.162532,3.61,13.78,10.52,7.88,5.89,34.37,97.9
2024-01-01T02:10:00Z,fish-01,32.689119,-117.161685,3.74,13.07,10.16,7.96,7.94,34.65,97.2
2024-01-01T02:20:00Z,fish-01,32.68953,-117.160399,3.59,13.56,10.49,7.69,10.13,33.98,98.0
2024-01-01T02:30:00Z,fish-01,32.689038,-117.161184,3.66,13.85,10.17,8.06,6.54,34.47,97.9
2024-01-01T02:40:00Z,fish-01,32.687541,-117.162303,2.86,13.78,10.1,7.86,6.2,34.34,97.5
2024-01-01T02:50:00Z,fish-01,32.691785,-117.160774,3.11,14.16,9.77,8.07,7.18,34.83,97.8
2024-01-01T03:00:00Z,fish-01,32.689994,-117.161951,2.73,14.11,10.51,8.06,12.52,34.54,99.0
2024-01-01T03:10:00Z,fish-01,32.690333,-117.159446,3.13,14.49,9.72,7.95,8.08,34.67,99.7
2024-01-01T03:20:00Z,fish-01,32.689973,-117.1597,3.59,15.39,9.89,8.1,8.2,34.77,99.7
2024-01-01T03:30:00Z,fish-01,32.689392,-117.160646,3.33,14.66,9.8,8.07,8.41,34.5,100.0
2024-01-01T03:40:00Z,fish-01,32.690037,-117.159894,3.93,14.67,10.32,7.97,6.32,34.08,100.0
2024-01-01T03:50:00Z,fish-01,32.68872,-117.161195,2.72,14.59,10.0,7.96,7.48,34.37,99.8
2024-01-01T04:00:00Z,fish-01,32.692692,-117.1605,3.55,14.6,10.06,8.11,6.52,34.39,99.9
2024-01-01T04:10:00Z,fish-01,32.689276,-117.159793,2.69,15.63,9.81,8.02,7.17,34.05,99.4
2024-01-01T04:20:00Z,fish-01,32.689575,-117.161031,3.37,15.27,10.02,8.1,9.92,33.84,99.2
2024-01-01T04:30:00Z,fish-01,32.690262,-117.161537,3.71,15.19,9.96,7.76,8.66,33.86,99.1
2024-01-01T04:40:00Z,fish-01,32.692086,-117.162993,3.24,15.32,9.91,8.01,17.42,34.32,98.8
2024-01-01T04:50:00Z,fish-01,32.690908,-117.161378,3.64,15.35,9.76,7.84,7.01,33.72,99.4
2024-01-01T05:00:00Z,fish-01,32.689753,-117.160478,2.9,15.61,9.37,8.0,7.71,34.42,98.4
2024-01-01T05:10:00Z,fish-01,32.692338,-117.160363,2.56,16.9,9.19,8.07,10.07,34.04,98.4
2024-01-01T05:20:00Z,fish-01,32.69191,-117.160811,3.68,15.63,10.06,8.17,7.29,33.82,98.4
2024-01-01T05:30:00Z,fish-01,32.691813,-117.161864,4.28,15.62,9.75,7.91,7.2,33.21,98.1
2024-01-01T05:40:00Z,fish-01,32.692085,-117.163307,2.93,16.78,9.36,7.95,8.03,33.68,98.5
2024-01-01T05:50:00Z,fish-01,32.693858,-117.161833,4.05,15.78,9.38,7.99,7.94,33.18,98.9
2024-01-01T06:00:00Z,fish-01,32.693744,-117.16165,3.47,16.72,9.05,7.9,14.87,32.79,98.9
